"Province","District","Value"
"Karnali","609 SALYAN","1744"
"Province 2","208 PARSA","7232"
"Lumbini","509 KAPILBASTU","4106"
"Gandaki","407 TANAHU","3677"
"Province 1","107 DHANKUTA","1141"
"Province 2","204 MAHOTTARI","4315"
"Gandaki","410 PARBAT","1412"
"Province 2","206 RAUTAHAT","4188"
"Bagmati","307 BHAKTAPUR","20101"
"Karnali","604 JUMLA","796"
"Lumbini","506 PALPA","5350"
"Lumbini","502 ROLPA","1048"
"Province 2","202 SIRAHA","3516"
"Sudurpaschim","702 BAJHANG","1152"
"Lumbini","510 DANG","11628"
"Karnali","602 MUGU","60"
"Lumbini","512 BARDIYA","5109"
"Sudurpaschim","701 BAJURA","776"
"Gandaki","401 GORKHA","4074"
"Lumbini","508 RUPANDEHI","27497"
"Bagmati","312 MAKWANPUR","8276"
"Lumbini","501 RUKUM EAST","166"
"Karnali","610 SURKHET","9264"
"Province 1","113 SUNSARI","14538"
"Lumbini","505 ARGHAKHANCHI","2057"
"Province 2","203 DHANUSA","7795"
"Province 1","101 TAPLEJUNG","711"
"Karnali","605 KALIKOT","655"
"Province 1","109 PANCHTHAR","375"
"Province 1","111 JHAPA","11512"
"Lumbini","511 BANKE","17211"
"Sudurpaschim","705 DADELDHURA","1872"
"Bagmati","308 LALITPUR","33557"
"Bagmati","306 KATHMANDU","189277"
"Sudurpaschim","706 DOTI","2421"
"Gandaki","409 SYANGJA","2744"
"Province 1","104 OKHALDHUNGA","1033"
"Lumbini","503 PYUTHAN","1374"
"Province 2","201 SAPTARI","3768"
"Gandaki","403 MUSTANG","170"
"Sudurpaschim","709 KANCHANPUR","5019"
"Sudurpaschim","704 BAITADI","2368"
"Province 2","207 BARA","4091"
"Bagmati","309 KAVREPALANCHOK","9327"
"Sudurpaschim","703 DARCHULA","880"
"Bagmati","310 RAMECHHAP","1875"
"Karnali","608 RUKUM WEST","714"
"Gandaki","408 NAWALPARASI EAST","4707"
"Bagmati","313 CHITAWAN","15096"
"Gandaki","411 BAGLUNG","1812"
"Karnali","601 DOLPA","93"
"Karnali","603 HUMLA","81"
"Lumbini","504 GULMI","2655"
"Province 1","105 KHOTANG","660"
"Bagmati","301 DOLAKHA","1905"
"Gandaki","406 LAMJUNG","2221"
"Gandaki","405 KASKI","19336"
"Province 1","114 UDAYAPUR","1185"
"Province 1","103 SOLUKHUMBU","406"
"Province 1","108 TERHATHUM","408"
"Sudurpaschim","708 KAILALI","15080"
"Lumbini","507 NAWALPARASI WEST","3392"
"Gandaki","404 MYAGDI","1238"
"Province 1","112 MORANG","25188"
"Province 1","106 BHOJPUR","369"
"Bagmati","303 RASUWA","723"
"Bagmati","304 DHADING","4774"
"Province 1","110 ILAM","867"
"Bagmati","305 NUWAKOT","4045"
"Bagmati","302 SINDHUPALCHOK","4054"
"Bagmati","311 SINDHULI","2248"
"Sudurpaschim","707 ACHHAM","3526"
"Gandaki","402 MANANG","67"
"Province 1","102 SANKHUWASABHA","966"
"Karnali","606 DAILEKH","2733"
"Province 2","205 SARLAHI","4112"
"Karnali","607 JAJARKOT","668"
